company,date,naf,num_emp
CENPAC,28-10-1988,Commerce de gros (commerce interentreprises) d'autres produits intermédiaires (4676Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
MONDIAL PARE BRISE,14-05-2013,Entretien et réparation de véhicules automobiles légers (4520A),1 à 2 salariés
AFEC,14-06-1993,Gestion de portefeuilles (671C),
Woertz AG,11-04-2011,Commerce de gros (commerce interentreprises) d'appareils électroménagers (4643Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Le Nomad,02-10-2015,Restauration traditionnelle (5610A),
AGC ADER,,Activités comptables (6920Z),100 à 199 salariés
DEA SUD OUEST,10-09-2014,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (4673A),6 à 9 salariés
Appel interim,25-11-2019,Activités des agences de travail temporaire (7820Z),
Toulouse Business School,,Autres organisations fonctionnant par adhésion volontaire (9499Z),6 à 9 salariés
PRO A PRO,16-12-1996,Commerce de voitures et de véhicules automobiles légers (4511Z),6 à 9 salariés
ORION CONSULTING,20-06-1985,Conseil pour les affaires et autres conseils de gestion (7022Z),3 à 5 salariés
VIC BILH INTERIM,05-08-2009,Activités des agences de travail temporaire (7820Z),1 à 2 salariés
ADENES,09-04-2009,évaluation des risques et dommages (6621Z),100 à 199 salariés
VERBUS,30-08-2016,Construction de maisons individuelles (4120A),1 à 2 salariés
Biotope,03-10-2006,Autres activités manufacturières n.c.a. (3299Z),
Lamacompta,20-02-2020,Activités des agences de placement de main-d'oeuvre (7810Z),
ATHOME,23-02-2015,Agences immobilières (6831Z),1 à 2 salariés
ANAQUA SERVICES,07-07-1994,Autres activités de soutien aux entreprises n.c.a. (8299Z),20 à 49 salariés
TBS Business School,30-12-2015,Enseignement supérieur (8542Z),200 à 249 salariés
association premiers pas,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
SAINT-AGNE IMMOBILIER,07-09-2001,Promotion immobilière de logements (4110A),20 à 49 salariés
chez simon,19-06-2003,En instance de chiffrement (0000Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SYNAP'S,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
ISTEF,02-10-1991,Enseignement supérieur (8542Z),20 à 49 salariés
Pyrenex,05-07-1968,Fabrication de vêtements de dessus (1413Z),100 à 199 salariés
SERGE BLANCO,10-06-1991,Hôtels et hébergement similaire (5510Z),100 à 199 salariés
SEM PYRENEES SERVICES PUBLICS,19-07-1991,"Captage, traitement et distribution d'eau (3600Z)",20 à 49 salariés
ANAQUA,07-07-1994,Autres activités de soutien aux entreprises n.c.a. (8299Z),20 à 49 salariés
UCVI,02-08-1999,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau (8219Z)",Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
CONSARIAND-HAUSER,10-04-1979,Activités comptables (6920Z),10 à 19 salariés
Aston Technologies,25-03-2004,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication (4652Z),10 à 19 salariés
AQUITAINE RESIDENCE,09-08-1988,Agences immobilières (703A),
CARGO,20-03-1985,Production de films pour le cinéma (5911C),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
BRICO PRIVE,03-10-2012,Vente à distance sur catalogue spécialisé (4791B),200 à 249 salariés
PROXISERVE,17-03-1986,Travaux d'installation d'équipements thermiques et de climatisation (4322B),2000 à 4999 salariés
CDC Habitat Social,23-11-1995,Location de logements (6820A),500 à 999 salariés
White Net,20-01-2010,Autres activités de nettoyage des bâtiments et nettoyage industriel (8122Z),20 à 49 salariés
Acom,06-06-2005,Fabrication de matériel médico-chirurgical et dentaire (3250A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
EXEM,04-02-1991,Commerce de détail de meubles (524H),
Irrijardin,11-07-2002,Activités des sociétés holding (6420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SARETEC,21-06-1977,évaluation des risques et dommages (6621Z),500 à 999 salariés
Groupe Essor,,Recherche-développement en autres sciences physiques et naturelles (7219Z),
TERRE DE VIGNERONS,21-05-1980,Vinification (1102B),50 à 99 salariés
Groupe Adonis,19-12-2003,Formation continue d'adultes (8559A),20 à 49 salariés
FONCIA,22-08-1986,Administration d'immeubles et autres biens immobiliers (6832A),20 à 49 salariés
Hotel Gascogne,03-03-2015,Hôtels et hébergement similaire (5510Z),1 à 2 salariés
AQUITAINE BOX,27-06-2019,En instance de chiffrement (0000Z),
ARCADIE SUD OUEST,06-12-1989,Transformation et conservation de la viande de boucherie (1011Z),500 à 999 salariés
OMNI TRAVAUX,13-05-1975,Travaux de terrassement courants et travaux préparatoires (4312A),50 à 99 salariés
CGERE,13-04-2012,Agences immobilières (6831Z),3 à 5 salariés
LYRA NETWORK,11-01-2001,"Traitement de données, hébergement et activités connexes (6311Z)",100 à 199 salariés
POLYEXPERT,21-05-2014,Fonds de placement et entités financières similaires (6430Z),
FRANCE PARE BRISE,13-10-2015,Commerce de détail d'équipements automobiles (4532Z),1 à 2 salariés
LACOSTE,04-03-2003,Activités de soutien aux cultures (0161Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SMDEA,,Activités des syndicats de salariés (9420Z),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
ENVERGURE,,Formation continue d'adultes (8559A),50 à 99 salariés
Mon Lit Cabane,18-12-2019,En instance de chiffrement (0000Z),
PALM CONSULTING,23-02-2001,Conseil pour les affaires et autres conseils de gestion (7022Z),
KFC,20-01-2010,Transports routiers de fret de proximité (4941B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Nexity,23-01-1976,Promotion immobilière de logements (4110A),20 à 49 salariés
GARROUSTE BETON,29-05-1990,Fabrication de béton prêt à l'emploi (2363Z),20 à 49 salariés
RECIF TECHNOLOGIES,20-07-2005,Fabrication d'autres machines-outils (2849Z),20 à 49 salariés
Clinique Rive Gauche,08-03-2010,Soins de beauté (9602B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Copland,26-11-2002,Location d'autres biens immobiliers (702C),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
AGE D'OR SERVICES,31-12-2007,Aide à domicile (8810A),20 à 49 salariés
Elitis,16-11-1998,Autres activités de soutien aux entreprises n.c.a. (8299Z),6 à 9 salariés
BEBEBOUTIK,19-03-2012,Vente à distance sur catalogue spécialisé (4791B),20 à 49 salariés
CMT,16-03-2006,Activités des agences de publicité (7311Z),
ICFF,19-04-2017,Travaux d'installation électrique dans tous locaux (4321A),3 à 5 salariés
BGE SUD OUEST,,Formation continue d'adultes (8559A),50 à 99 salariés
Occitanie Pro Formation,10-01-2019,Autres enseignements (8559B),
CENTRAKOR,26-03-1990,Centrales d'achat non alimentaires (4619A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Clinique MAYLIS,24-08-1988,Activités hospitalières (8610Z),50 à 99 salariés
ABAULT,04-01-2002,Agences immobilières (6831Z),10 à 19 salariés
GROUPE APR,29-04-1986,Nettoyage courant des bâtiments (8121Z),500 à 999 salariés
STEF TRANSPORT TARBES,07-09-2000,Transports routiers de fret de proximité (4941B),20 à 49 salariés
Hydro Building Systems France,18-12-2003,Commerce de gros (commerce interentreprises) de minerais et métaux (4672Z),500 à 999 salariés
Nemea Appart'hotel,28-06-1999,Hébergement touristique et autre hébergement de courte durée (5520Z),20 à 49 salariés
LG MURET AUTOMOBILES,27-12-2017,Commerce de voitures et de véhicules automobiles légers (4511Z),
PSL,19-05-2016,Contrôle technique automobile (7120A),
Jean Claude Aubry,28-04-1995,Travaux de maçonnerie générale (452V),
CIGEC,23-02-2001,Travaux d'installation d'équipements thermiques et de climatisation (4322B),20 à 49 salariés
Cabinets d'expertise comptable,20-12-1973,Activités comptables (6920Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SAINT-PIERRE IMMOBILIER,08-04-2015,Administration d'immeubles et autres biens immobiliers (6832A),3 à 5 salariés
La Mêlée,28-02-1985,"Organisation de foires, salons professionnels et congrès (8230Z)",Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Oxylio,13-11-2018,Commerce de voitures et de véhicules automobiles légers (4511Z),
NOVARCHIVE,28-12-1990,Entreposage et stockage non frigorifique (5210B),20 à 49 salariés
COGEX,04-02-2000,Activités comptables (6920Z),6 à 9 salariés
NOBATEK/INEF4,14-03-2017,"Ingénierie, études techniques (7112B)",50 à 99 salariés
SEDGWICK,30-09-1988,Administration d'entreprises (741J),
CABINET JEAN-JACQUES NICOLAS,08-11-2006,Activités des agents et courtiers d'assurances (6622Z),1 à 2 salariés
TARMAC AEROSAVE,30-12-1994,Réparation et maintenance d'aéronefs et d'engins spatiaux (3316Z),100 à 199 salariés
OULES,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Hydro Building Systems,18-12-2003,Commerce de gros (commerce interentreprises) de minerais et métaux (4672Z),500 à 999 salariés
PAU BEARN HABITAT,16-03-1957,Location de logements (6820A),50 à 99 salariés
BIASON,09-02-2000,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²) (4752A)",3 à 5 salariés
CABINET DENTAIRE ESC,27-08-2013,Pratique dentaire (8623Z),6 à 9 salariés
Tutos Me,08-09-2015,Formation continue d'adultes (8559A),1 à 2 salariés
Ergalis,23-03-1998,Activités des agences de travail temporaire (7820Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
winsearch,06-02-1995,Activités des agences de placement de main-d'oeuvre (7810Z),6 à 9 salariés
Taylor Made Recrutement,05-10-2009,Activités des agences de placement de main-d'oeuvre (7810Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
CANTENYS CONTRERAS,01-08-2017,Commerce de détail de produits pharmaceutiques en magasin spécialisé (4773Z),6 à 9 salariés
Clinique Marigny,24-06-1980,Activités hospitalières (8610Z),100 à 199 salariés
L.I.P,07-11-1984,Travaux de menuiserie métallique et serrurerie (4332B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Talentis Horizon,19-09-2019,Formation continue d'adultes (8559A),
Axeo Services,05-11-2007,Autres services personnels n.c.a. (9609Z),10 à 19 salariés
Fram,15-05-1995,Location de terrains et d'autres biens immobiliers (6820B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Profil interim,23-08-1993,Travail temporaire (745B),
PFC-RH,21-09-2010,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
übi,18-01-2000,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses (0111Z)",
Stelliant,09-06-2016,Activités des sociétés holding (6420Z),6 à 9 salariés
Puissance Cap,03-03-2014,"Ingénierie, études techniques (7112B)",
Capcir,16-12-2016,Transformation et conservation de la viande de boucherie (1011Z),3 à 5 salariés
Green City Immobilier,16-12-2016,Supports juridiques de programmes (4110D),
Axe TT,16-11-2010,Commerce et réparation de motocycles (4540Z),
Vitalliance,04-10-2012,Activités des sociétés holding (6420Z),6 à 9 salariés
Maison et Services,23-03-2012,Autres services personnels n.c.a. (9609Z),20 à 49 salariés
Cozynergy,13-02-2006,Travaux d'installation d'équipements thermiques et de climatisation (4322B),1 à 2 salariés
McDonald's France,06-06-1995,Conseil pour les affaires et autres conseils de gestion (7022Z),500 à 999 salariés
Hoyado,02-10-2006,Activités des agences de publicité (7311Z),3 à 5 salariés
APR SERVICES,09-03-1995,Aide à domicile (8810A),250 à 499 salariés
ENTENDRE,,Arts du spectacle vivant (9001Z),
AIDE DOMICILE MILIEU RURAL D ARZACQ,,Action sociale sans hébergement n.c.a. (8899B),20 à 49 salariés
Hippopotamus,25-08-2008,En instance de chiffrement (0000Z),
RAS,18-01-2010,Location de terrains et d'autres biens immobiliers (6820B),
SOFITEL,,études de marché et sondages (7320Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
centre cantoloup lavallee,,Hébergement social pour enfants en difficultés (8790A),100 à 199 salariés
Fed Finance,27-12-2001,Activités des agences de travail temporaire (7820Z),100 à 199 salariés
ALTICAP,14-05-2009,Conseil en systèmes et logiciels informatiques (6202A),20 à 49 salariés
FIDUCIAL,18-11-1982,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a. (6619B)",Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
MAISADOUR,22-08-2002,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (4621Z)",250 à 499 salariés
MOTEURS LEROY SOMER,22-08-1986,"Fabrication de moteurs, génératrices et transformateurs électriques (2711Z)",2000 à 4999 salariés
la mie caline,,Activités de clubs de sports (9312Z),1 à 2 salariés
Axylis,15-10-1987,"Ingénierie, études techniques (7112B)",6 à 9 salariés
Fidal,,Formation continue d'adultes (8559A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Dawan,24-03-2000,Formation continue d'adultes (8559A),20 à 49 salariés
Cuisinella,02-01-1997,Commerce de détail de meubles (4759A),6 à 9 salariés
ADIATE,04-08-2006,Autres transports routiers de voyageurs (4939B),10 à 19 salariés
Hopps Group,21-08-1980,Activités des sièges sociaux (7010Z),200 à 249 salariés
Lacroix,,Autres activités de soutien aux entreprises n.c.a. (8299Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
TARMAC Aerosave,30-12-1994,Réparation et maintenance d'aéronefs et d'engins spatiaux (3316Z),100 à 199 salariés
OXYLIO,13-11-2018,Commerce de voitures et de véhicules automobiles légers (4511Z),
Une Aide Pour Chacun,28-04-2010,Aide à domicile (8810A),20 à 49 salariés
Foncia,22-08-1986,Administration d'immeubles et autres biens immobiliers (6832A),20 à 49 salariés
DOMIDOM,01-12-1992,Location de logements (6820A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
PROCEMO,06-04-2012,Conseil pour les affaires et autres conseils de gestion (7022Z),20 à 49 salariés
UNASA,,Autre mise à disposition de ressources humaines (7830Z),
O2,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
Orpi,04-06-2007,Agences immobilières (6831Z),1 à 2 salariés
PAPREC,30-09-2010,Collecte des déchets non dangereux (3811Z),250 à 499 salariés
AXXIS,20-12-2018,Activités des sièges sociaux (7010Z),
VALORITY,07-04-2003,Activités des sociétés holding (6420Z),6 à 9 salariés
VALOFI,30-06-2005,Organismes de placement en valeurs mobilières (652E),
Sedgwick,30-09-1988,Administration d'entreprises (741J),
SAMSIC RH,30-09-2002,Activités des sièges sociaux (7010Z),
Groupe Parot,24-01-1989,Activités des sociétés holding (6420Z),20 à 49 salariés
Hydro-France,15-05-1987,"Intermédiaires du commerce en combustibles, métaux, minéraux, produits chimiques (511C)",
WORKTEAM,11-08-1992,Nettoyage courant des bâtiments (8121Z),50 à 99 salariés
AUTODISTRIBUTION,28-03-1973,Centrales d'achat non alimentaires (4619A),250 à 499 salariés
Garonne Services,17-06-2020,Construction d'ouvrages maritimes et fluviaux (4291Z),
AMC,29-12-1999,Location de terrains et d'autres biens immobiliers (6820B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Groupe CLIM,28-03-2017,Activités des sociétés holding (6420Z),
LES THERMES DE CAPVERN LES BAINS,02-01-2013,Entretien corporel (9604Z),20 à 49 salariés
Colas Sud-Ouest,18-04-1984,Construction de routes et autoroutes (4211Z),2000 à 4999 salariés
COLAS,28-10-2010,Travaux d'installation électrique dans tous locaux (4321A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Honeywell,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
LES CANARDS D'AUZAN,27-12-2012,Transformation et conservation de la viande de volaille (1012Z),200 à 249 salariés
LA RESERVE,19-08-2013,"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage (4647Z)",
INTER ENERGIES,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
ENGIE COFELY,29-12-2017,Fabrication de gaz industriels (2011Z),
Acces Industrie,18-11-1997,Fabrication de matériel de levage et de manutention (2822Z),
Circet,02-01-2007,Autres activités de télécommunication (6190Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
LECLERC,18-07-2016,Location de terrains et d'autres biens immobiliers (6820B),
UNANIM,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Nature et Loisirs,19-05-1982,Administration d'immeubles et autres biens immobiliers (6832A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SECURIS,03-01-2019,Activités de sécurité privée (8010Z),
Konica Minolta,,Commerce de gros (commerce interentreprises) non spécialisé (4690Z),1 à 2 salariés
RECAERO,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
STEF,10-12-2004,Hôtels et hébergement similaire (5510Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
LES SILOS DU TOUCH,22-04-2004,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers (4638B),10 à 19 salariés
PRODIA,25-06-1975,Commerce de gros (commerce interentreprises) de produits chimiques (4675Z),10 à 19 salariés
GROUPE AQUALANDE,04-02-1991,Activités des sociétés holding (6420Z),6 à 9 salariés
Consept,20-12-2016,Travaux de menuiserie bois et pvc (4332A),
Groupe LDLC,25-01-1996,Vente à distance sur catalogue spécialisé (4791B),250 à 499 salariés
Vacanceselect Group,29-06-2012,Terrains de camping et parcs pour caravanes ou véhicules de loisirs (5530Z),3 à 5 salariés
ENGIE Home Services,04-11-2011,Production d'électricité (3511Z),
Carrefour,28-12-1999,Administration d'entreprises (741J),
Saur,,Activités des infirmiers et des sages-femmes (8690D),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Brunet,12-12-1996,Location de logements (6820A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
FREE,01-08-1985,Intermediaires du commerce en produits divers(sans prédominance) (6010),
OUEST ISOL ET VENTIL,27-10-1959,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (4673A),500 à 999 salariés
ECA Group,,Autres organisations fonctionnant par adhésion volontaire (9499Z),3 à 5 salariés
Groupe AB,01-02-2002,Fonds de placement et entités financières similaires (6430Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
CELSA FRANCE,08-03-1995,Sidérurgie (2410Z),100 à 199 salariés
STI FRANCE,26-05-2008,Transports routiers de fret de proximité (4941B),
Dalkia Froid Solutions,26-08-1969,Réparation de machines et équipements mécaniques (3312Z),500 à 999 salariés
SOCIETE D'ETUDE DE REALISATION ET D'EXPL,22-04-1988,Activités d'architecture (7111Z),1 à 2 salariés
Cegedim,23-02-1995,Edition de logiciels applicatifs (5829C),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Fertinagro,,Commerce de gros (commerce interentreprises) de produits chimiques (4675Z),1 à 2 salariés
RGIS,29-10-2003,Conseil pour les affaires et autres conseils de gestion (7022Z),1000 à 1999 salariés
HELIDAX,,Activités des syndicats de salariés (9420Z),
Trek Bicycle,07-09-2016,Commerce de détail d'articles de sport en magasin spécialisé (4764Z),1 à 2 salariés
Profil Plus,19-05-2008,Fabrication de portes et fenêtres en métal (2512Z),6 à 9 salariés
e-QUADRA,17-03-1997,Autre mise à disposition de ressources humaines (7830Z),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
Fenwick Linde,22-12-1988,Fabrication de matériel de levage et de manutention (2822Z),2000 à 4999 salariés
Steam'O,21-05-2014,Conseil pour les affaires et autres conseils de gestion (7022Z),3 à 5 salariés
DEPARTEMENT DES PYRENEES ATLANTIQUES,,Administration publique générale (8411Z),2000 à 4999 salariés
Mecano ID,30-12-1994,"Ingénierie, études techniques (7112B)",50 à 99 salariés
Parera,,Soins de beauté (9602B),
Jaguar Land Rover,10-11-2008,Commerce de voitures et de véhicules automobiles légers (4511Z),50 à 99 salariés
DIODON DRONE TECHNOLOGY,17-03-2017,"Ingénierie, études techniques (7112B)",
LOUBSENS,17-07-1992,Aquaculture en mer (0321Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Horoquartz,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
SUD MAINTENANCE INDUSTRIE,07-03-1991,Fabrication de machines-outils pour le travail des métaux (2841Z),20 à 49 salariés
Eurotyre,26-08-1986,Autres activités de soutien aux entreprises n.c.a. (8299Z),
LE GRENIER DES GASTRONOMES,16-01-2009,Transformation et conservation de la viande de volaille (1012Z),50 à 99 salariés
SOS OXYGENE,10-06-2020,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a. (7739Z)",
VSB ENERGIES NOUVELLES,29-10-2001,"Ingénierie, études techniques (7112B)",50 à 99 salariés
DEUERER PETCARE FRANCE,10-06-2014,Fabrication d'aliments pour animaux de compagnie (1092Z),100 à 199 salariés
LDLC,25-01-1996,Vente à distance sur catalogue spécialisé (4791B),250 à 499 salariés
Dalkia Wastenergy,16-01-1995,Traitement et élimination des déchets non dangereux (3821Z),50 à 99 salariés
XL HABITAT,25-11-2008,Location de logements (6820A),100 à 199 salariés
Techni Confort,12-10-2005,Travaux d'installation d'équipements thermiques et de climatisation (4322B),
Solution Profil,03-04-2019,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (4673A),
Alphéa Conseil,10-07-2001,Activités comptables (6920Z),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
Lynkus,05-08-2019,Conseil pour les affaires et autres conseils de gestion (7022Z),
AJIR,30-11-2012,Location de terrains et d'autres biens immobiliers (6820B),
Neptune RH,13-01-2003,Autre mise à disposition de ressources humaines (7830Z),6 à 9 salariés
TRIGONE-RH,23-05-2013,Conseil pour les affaires et autres conseils de gestion (7022Z),1 à 2 salariés
ROUGELINE,25-01-2001,Commerce de gros (commerce interentreprises) de fruits et légumes (4631Z),20 à 49 salariés
SearchProTech,09-05-2012,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
ADREXO,30-05-2011,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau (8219Z)",100 à 199 salariés
SECAR,18-04-2018,Activités comptables (6920Z),
FORSTAFF,27-05-2004,Activités des sièges sociaux (7010Z),
Skills RH,08-10-2019,Conseil en relations publiques et communication (7021Z),
KARARE GROUP,30-08-2012,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
Caplaser,15-09-1986,Conseil en systèmes et logiciels informatiques (6202A),20 à 49 salariés
Epide,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
16 INTERIM,05-07-2012,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
TRADE SOLUTIONS,27-07-2007,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services (4669C),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Wonder Cleaner,29-08-2011,Nettoyage courant des bâtiments (8121Z),20 à 49 salariés
CELAD,30-06-1992,Conseil en systèmes et logiciels informatiques (6202A),500 à 999 salariés
Foselev,01-09-1977,Location avec opérateur de matériel de construction (4399E),50 à 99 salariés
