company,date,naf,num_emp
VITALIS MEDICAL,22-12-2005,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
SOC NOTRE DAME DE JOIE,,Action sociale sans hébergement n.c.a. (8899B),250 à 499 salariés
Colisee,,Activités combinées de soutien lié aux bâtiments (8110Z),1 à 2 salariés
Clinique de l'Union,,Activités des syndicats de salariés (9420Z),
CENTRE HOSPITALIER COMMINGES PYRENEES,,Activités hospitalières (8610Z),500 à 999 salariés
POLYCLINIQUE DE L'ADOUR,12-01-2017,Activités hospitalières (8610Z),100 à 199 salariés
Centre hospitalier,,Activités hospitalières (8610Z),100 à 199 salariés
Aile Medicale,19-06-1975,Activités des agences de travail temporaire (7820Z),50 à 99 salariés
Hadma,01-10-2008,Location de terrains et d'autres biens immobiliers (6820B),
CLINIQUE MIRAMBEAU,13-09-1967,Activités hospitalières (8610Z),20 à 49 salariés
CENTRE INTERCOMMUNAL D ACTION SOCIALE,,Action sociale sans hébergement n.c.a. (8899B),
CLINIQUE DES LANDES,29-10-1973,Activités hospitalières (8610Z),100 à 199 salariés
Clinique Maylis,24-08-1988,Activités hospitalières (8610Z),50 à 99 salariés
ASS MARIE LEHMANN,,Hébergement social pour personnes âgées (8730A),50 à 99 salariés
RESIDENCE LE BARRY,,Activités combinées de soutien lié aux bâtiments (8110Z),1 à 2 salariés
EMERA EHPAD ANTOINE DE BOURBON,24-12-2003,Hébergement médicalisé pour personnes âgées (8710A),500 à 999 salariés
HOSPITALISATION A DOMICILE,24-04-1986,Activités hospitalières (851A),
SAINT-LYS LA JOIE DE VIVRE,28-10-2016,Hébergement social pour personnes âgées (8730A),
RESIDENCE MARIE ANTOINETTE,25-01-2016,Location de terrains et d'autres biens immobiliers (6820B),
ADMR CENTRE DE SOINS,,Activité des médecins généralistes (8621Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
EHPAD ST JACQUES,,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
CLINIQUE CHATEAU CARADOC,05-02-2002,Activités hospitalières (8610Z),50 à 99 salariés
Association la compassion,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
L'ACACIA,29-01-1986,Administration d'immeubles et autres biens immobiliers (6832A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
EHPAD LES FONTENELLES,,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
GCS PAYS DE L ADOUR,29-11-2019,Activités hospitalières (8610Z),
PLUS2RH,14-02-2018,Conseil pour les affaires et autres conseils de gestion (7022Z),
CENTRE CANTOLOUP LAVALLEE,,Hébergement social pour enfants en difficultés (8790A),100 à 199 salariés
ADN SANTE,,Activités des infirmiers et des sages-femmes (8690D),
VILLA CASTERA,22-05-2015,Supports juridiques de programmes (4110D),
CAPIO LA CROIX DU SUD,27-12-2011,Activités hospitalières (8610Z),500 à 999 salariés
MAISON RETRAITE MARIE CAUDRON,,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
Maisons de Famille France,29-12-2006,Activités des sociétés holding (6420Z),20 à 49 salariés
Clinique Minimes,29-07-2008,Activités hospitalières (8610Z),100 à 199 salariés
LES JEUNES CHENES,,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale (8412Z)",6 à 9 salariés
AVENIR GERONTOLOGIE,28-06-1999,Hébergement médicalisé pour personnes âgées (8710A),20 à 49 salariés
MAISON DE RETRAITE DU PARC D HIVER,16-05-1988,Hébergement médicalisé pour personnes âgées (8710A),20 à 49 salariés
JOB-MEDICAL,22-05-2007,Activités des agences de placement de main-d'oeuvre (7810Z),20 à 49 salariés
MAISON DE RETRAITE LES COLCHIQUES,02-08-1989,Hébergement médicalisé pour personnes âgées (8710A),20 à 49 salariés
Centre Hospitalier,,Activités hospitalières (8610Z),100 à 199 salariés
Agapei,18-06-2001,Conseil pour les affaires et autres conseils de gestion (7022Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
POLYCLINIQUE DE GASCOGNE,11-08-1967,Activités hospitalières (8610Z),50 à 99 salariés
Institut Claudius Regaud,,Activités hospitalières (8610Z),1000 à 1999 salariés
MAISON DE RETRAITE DU BEAU MANOIR,14-02-1991,Hébergement médicalisé pour personnes âgées (8710A),20 à 49 salariés
ADMR,,Aide à domicile (8810A),20 à 49 salariés
CBM,11-02-2011,Travaux d'installation électrique dans tous locaux (4321A),1 à 2 salariés
CLOS D ARMAGNAC,08-04-2011,Hébergement social pour personnes âgées (8730A),20 à 49 salariés
ORPEA SA,,Activités des syndicats de salariés (9420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
FED DEPT AIDE A DOMICILE EN MILIEU RURAL,,Aide à domicile (8810A),20 à 49 salariés
Centre Hospitalier du Gers,,Activités hospitalières (8610Z),500 à 999 salariés
PHARMELIS,06-02-2006,Conseil pour les affaires et autres conseils de gestion (7022Z),10 à 19 salariés
Babilou,08-08-2019,Location de terrains et d'autres biens immobiliers (6820B),
Tribay,01-03-2001,Activités des agences de travail temporaire (7820Z),6 à 9 salariés
Bouygues Immobilier,07-07-1982,Promotion immobilière de bureaux (4110B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Spring,13-03-2001,Commerce de détail d'autres équipements du foyer (4759B),
DEL ARTE,18-09-2014,Location de terrains et d'autres biens immobiliers (6820B),
Elior,31-08-1979,Activités des sociétés holding (6420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Lynx RH,10-12-2015,Conseil pour les affaires et autres conseils de gestion (7022Z),
Tesla,02-10-2007,Travaux de revêtement des sols et des murs (4333Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Eramet,18-01-2011,Autres enseignements (8559B),1 à 2 salariés
LEYTON FRANCE,11-06-2008,Conseil pour les affaires et autres conseils de gestion (7022Z),100 à 199 salariés
CA Ressources Humaines,20-01-2012,Conseil pour les affaires et autres conseils de gestion (7022Z),6 à 9 salariés
Armand Thiery,23-01-1991,Commerce de détail d'habillement en magasin spécialisé (4771Z),2000 à 4999 salariés
ENGIE Axima,,Activités de clubs de sports (9312Z),
Thales Group,03-11-2000,Commerce de gros (commerce interentreprises) de matériel électrique (4669A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SUEZ,15-03-2011,Travaux d'installation d'eau et de gaz en tous locaux (4322A),
Bras Droit des Dirigeants,02-08-2011,Conseil pour les affaires et autres conseils de gestion (7022Z),10 à 19 salariés
Berger-Levrault,20-04-1989,Édition de livres (5811Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Adsearch,23-12-2019,Activités des agences de travail temporaire (7820Z),
SOCOTEC,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
ENGIE Solutions,01-10-2015,Autres activités de soutien aux entreprises n.c.a. (8299Z),
Groupe Piment,21-03-2006,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
Gascogne,,Activités combinées de soutien lié aux bâtiments (8110Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
CAF DES LANDES,,Activités des syndicats de salariés (9420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Apajh,,Hébergement social pour handicapés mentaux et malades mentaux (8720A),250 à 499 salariés
Sopemea,,Activités des syndicats de salariés (9420Z),1 à 2 salariés
Sovitrat,28-02-1979,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
FRANCOIS TERRAL INTERIM,31-08-2006,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
ADECCO PME,20-06-1970,Activités des agences de travail temporaire (7820Z),2000 à 4999 salariés
SEMO,07-03-1958,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques (2221Z)",100 à 199 salariés
Piveteau Bois,24-01-1972,"Sciage et rabotage du bois, hors imprégnation (1610A)",250 à 499 salariés
SCOPELEC,,Activités des syndicats de salariés (9420Z),
Conserto,02-01-2008,Activités des marchands de biens immobiliers (6810Z),1 à 2 salariés
ACAVI,29-06-2007,Conseil pour les affaires et autres conseils de gestion (7022Z),3 à 5 salariés
EPONEA-RH,10-06-2010,Conseil pour les affaires et autres conseils de gestion (7022Z),1 à 2 salariés
EasyMile,30-06-2014,Programmation informatique (6201Z),20 à 49 salariés
Leyton,18-03-1997,Commerce d'alimentation générale (521B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
AGIENSE,16-12-2019,"Ingénierie, études techniques (7112B)",
ZAZZEN MIDI-PYRENEES,30-05-2016,Aide à domicile (8810A),20 à 49 salariés
IFAG,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Socotec,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
MAITRE PRUNILLE,05-02-1991,Transformation et conservation de fruits (1039B),500 à 999 salariés
LFC HUMAIN,25-03-2003,Conseil pour les affaires et autres conseils de gestion (7022Z),10 à 19 salariés
Ducs de Gascogne,25-10-1990,Sélection et mise à disposition de personnel (745A),
ENVIRIS,07-05-2003,Activités des sociétés holding (6420Z),1 à 2 salariés
TARAMM,13-12-1994,Fonderie de métaux légers (2453Z),100 à 199 salariés
Blue Search Conseil,06-12-1999,Autre mise à disposition de ressources humaines (7830Z),10 à 19 salariés
ENGIE SOLUTIONS,01-10-2015,Autres activités de soutien aux entreprises n.c.a. (8299Z),
Fed Supply,27-12-2001,Activités des agences de travail temporaire (7820Z),100 à 199 salariés
VINCI Construction,01-02-1985,Activités des sociétés holding (6420Z),20 à 49 salariés
Auchan Retail France,25-04-2005,Hypermarchés (4711F),
Sysco France,06-03-2002,Commerce de gros (commerce interentreprises) de produits surgelés (4639A),2000 à 4999 salariés
Centre de Soins La Nouvelle Aquitaine,26-09-1974,Activités hospitalières (8610Z),5000 à 9999 salariés
AMPLEON FRANCE,30-09-2015,Fabrication de composants électroniques (2611Z),20 à 49 salariés
SAMSI,12-02-2003,Nettoyage courant des bâtiments (8121Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SYSCO FRANCE SAS,06-03-2002,Commerce de gros (commerce interentreprises) de produits surgelés (4639A),2000 à 4999 salariés
CIC,12-06-1974,Promotion immobiliere (7901),
VALIANTYS,03-05-2006,Conseil en systèmes et logiciels informatiques (6202A),20 à 49 salariés
